,percent,Provider,diameter,GCsize
0,0,Tim,2,1.0
1,1,Tim,2,1.0
2,2,Tim,2,1.0
3,3,Tim,2,1.0
4,4,Tim,2,1.0
5,5,Tim,2,1.0
6,6,Tim,2,1.0
7,7,Tim,2,1.0
8,8,Tim,2,1.0
9,9,Tim,2,1.0
10,10,Tim,2,1.0
11,11,Tim,2,1.0
12,12,Tim,2,1.0
13,13,Tim,2,1.0
14,14,Tim,2,1.0
15,15,Tim,2,1.0
16,16,Tim,2,1.0
17,17,Tim,2,1.0
18,18,Tim,2,1.0
19,19,Tim,2,1.0
20,20,Tim,2,1.0
21,21,Tim,2,1.0
22,22,Tim,2,1.0
23,23,Tim,2,1.0
24,24,Tim,2,1.0
25,25,Tim,2,1.0
26,26,Tim,2,1.0
27,27,Tim,2,1.0
28,28,Tim,2,1.0
29,29,Tim,2,1.0
30,30,Tim,2,1.0
31,31,Tim,2,1.0
32,32,Tim,2,1.0
33,33,Tim,2,1.0
34,34,Tim,2,1.0
35,35,Tim,2,1.0
36,36,Tim,2,1.0
37,37,Tim,2,1.0
38,38,Tim,2,1.0
39,39,Tim,2,1.0
40,40,Tim,2,1.0
41,41,Tim,2,1.0
42,42,Tim,2,1.0
43,43,Tim,2,1.0
44,44,Tim,2,1.0
45,45,Tim,2,1.0
46,46,Tim,2,1.0
47,47,Tim,3,1.0
48,48,Tim,3,1.0
49,49,Tim,3,1.0
50,50,Tim,3,1.0
51,51,Tim,3,1.0
52,52,Tim,3,1.0
53,53,Tim,3,1.0
54,54,Tim,3,1.0
55,55,Tim,3,1.0
56,56,Tim,3,1.0
57,57,Tim,3,1.0
58,58,Tim,3,1.0
59,59,Tim,3,1.0
60,60,Tim,3,1.0
61,61,Tim,3,1.0
62,62,Tim,3,1.0
63,63,Tim,3,1.0
64,64,Tim,3,1.0
65,65,Tim,3,1.0
66,66,Tim,3,1.0
67,67,Tim,3,1.0
68,68,Tim,3,1.0
69,69,Tim,3,1.0
70,70,Tim,3,1.0
71,71,Tim,3,1.0
72,72,Tim,3,1.0
73,73,Tim,3,1.0
74,74,Tim,3,1.0
75,75,Tim,3,1.0
76,76,Tim,4,0.981958762887
77,77,Tim,4,0.981081081081
78,78,Tim,4,0.980113636364
79,79,Tim,4,0.982035928144
80,80,Tim,4,0.98417721519
81,81,Tim,4,0.98322147651
82,82,Tim,4,0.989285714286
83,83,Tim,4,0.988549618321
84,84,Tim,4,0.987704918033
85,85,Tim,4,0.986725663717
86,86,Tim,4,0.985576923077
87,87,Tim,4,0.984210526316
88,88,Tim,4,0.982558139535
89,89,Tim,4,0.987012987013
90,90,Tim,4,0.985294117647
91,91,Tim,4,0.838983050847
92,92,Tim,4,0.83
93,93,Tim,4,0.853658536585
94,94,Tim,4,0.84375
95,95,Tim,4,0.260869565217
96,96,Tim,1,0.0714285714286
97,97,Tim,1,0.2
98,0,Vodafone,2,1.0
99,1,Vodafone,2,1.0
100,2,Vodafone,2,1.0
101,3,Vodafone,2,1.0
102,4,Vodafone,2,1.0
103,5,Vodafone,2,1.0
104,6,Vodafone,2,1.0
105,7,Vodafone,2,1.0
106,8,Vodafone,2,1.0
107,9,Vodafone,2,1.0
108,10,Vodafone,2,1.0
109,11,Vodafone,2,1.0
110,12,Vodafone,2,1.0
111,13,Vodafone,2,1.0
112,14,Vodafone,2,1.0
113,15,Vodafone,2,1.0
114,16,Vodafone,2,1.0
115,17,Vodafone,2,1.0
116,18,Vodafone,2,1.0
117,19,Vodafone,2,1.0
118,20,Vodafone,2,1.0
119,21,Vodafone,2,1.0
120,22,Vodafone,2,1.0
121,23,Vodafone,2,1.0
122,24,Vodafone,2,1.0
123,25,Vodafone,2,1.0
124,26,Vodafone,2,1.0
125,27,Vodafone,2,1.0
126,28,Vodafone,2,1.0
127,29,Vodafone,2,1.0
128,30,Vodafone,2,1.0
129,31,Vodafone,2,1.0
130,32,Vodafone,2,1.0
131,33,Vodafone,2,1.0
132,34,Vodafone,2,1.0
133,35,Vodafone,2,1.0
134,36,Vodafone,2,1.0
135,37,Vodafone,2,1.0
136,38,Vodafone,2,1.0
137,39,Vodafone,2,1.0
138,40,Vodafone,2,1.0
139,41,Vodafone,2,1.0
140,42,Vodafone,2,1.0
141,43,Vodafone,2,1.0
142,44,Vodafone,2,1.0
143,45,Vodafone,2,1.0
144,46,Vodafone,2,1.0
145,47,Vodafone,2,1.0
146,48,Vodafone,2,1.0
147,49,Vodafone,2,1.0
148,50,Vodafone,2,1.0
149,51,Vodafone,2,1.0
150,52,Vodafone,2,1.0
151,53,Vodafone,2,1.0
152,54,Vodafone,2,1.0
153,55,Vodafone,2,1.0
154,56,Vodafone,2,1.0
155,57,Vodafone,2,1.0
156,58,Vodafone,2,1.0
157,59,Vodafone,2,1.0
158,60,Vodafone,2,1.0
159,61,Vodafone,2,1.0
160,62,Vodafone,2,1.0
161,63,Vodafone,2,1.0
162,64,Vodafone,2,1.0
163,65,Vodafone,2,1.0
164,66,Vodafone,2,1.0
165,67,Vodafone,2,1.0
166,68,Vodafone,2,1.0
167,69,Vodafone,2,1.0
168,70,Vodafone,2,1.0
169,71,Vodafone,2,1.0
170,72,Vodafone,7,0.894736842105
171,73,Vodafone,7,0.894967177243
172,74,Vodafone,7,0.895216400911
173,75,Vodafone,7,0.874109263658
174,76,Vodafone,7,0.87841191067
175,77,Vodafone,7,0.877922077922
176,78,Vodafone,7,0.877384196185
177,79,Vodafone,7,0.876790830946
178,80,Vodafone,7,0.873111782477
179,81,Vodafone,7,0.869009584665
180,82,Vodafone,7,0.864406779661
181,83,Vodafone,7,0.870036101083
182,84,Vodafone,7,0.868725868726
183,85,Vodafone,6,0.846473029046
184,86,Vodafone,8,0.816143497758
185,87,Vodafone,8,0.829268292683
186,88,Vodafone,8,0.812834224599
187,89,Vodafone,6,0.674556213018
188,90,Vodafone,6,0.682119205298
189,91,Vodafone,6,0.451127819549
